iter	Logloss
0	0.6525337819
1	0.6257436933
2	0.6069918669
3	0.5886965375
4	0.5779599915
5	0.5683952548
6	0.5606197691
7	0.5529780899
8	0.5488961935
9	0.5446955647
10	0.5415728469
11	0.5378899065
12	0.5346277833
13	0.531816368
14	0.5297568845
15	0.5275462464
16	0.5247497503
17	0.5229990334
18	0.521600138
19	0.5197656545
20	0.518256959
21	0.5168144388
22	0.515425288
23	0.5141884843
24	0.5129751441
25	0.5117018901
26	0.5105575945
27	0.509345401
28	0.5082407537
29	0.5064607608
30	0.5054341208
31	0.5044314682
32	0.5035734525
33	0.5027238607
34	0.5017025367
35	0.5006959613
36	0.499841578
37	0.4991124482
38	0.4982677698
39	0.497427054
40	0.4966667099
41	0.4958816627
42	0.495260924
43	0.4946090205
44	0.4940304414
45	0.4934143849
46	0.492330044
47	0.4918221676
48	0.4912260634
49	0.4905744075
50	0.4901117263
51	0.4894844623
52	0.4889278038
53	0.4882284099
54	0.4875944813
55	0.4869420647
56	0.4864637955
57	0.4859505885
58	0.4852680186
59	0.4847709057
60	0.4843173552
61	0.4838644712
62	0.4833754844
63	0.4828602147
64	0.4823652794
65	0.4819040655
66	0.4814445665
67	0.4809972709
68	0.4804978318
69	0.4801437881
70	0.4797685419
71	0.4793085951
72	0.478930111
73	0.4785239997
74	0.4781373589
75	0.4777416033
76	0.4773440847
77	0.4770316235
78	0.4765947404
79	0.4758379447
80	0.4754867933
81	0.4750843245
82	0.4747421941
83	0.4742865101
84	0.4739661206
85	0.4735944822
86	0.4731957991
87	0.4728583913
88	0.4725168136
89	0.4721936915
90	0.4718177553
91	0.4714866945
92	0.4711574421
93	0.4708318181
94	0.4704589369
95	0.4701401172
96	0.4698196487
97	0.4695274752
98	0.4692331054
99	0.4689723654
100	0.4686898915
101	0.46845653
102	0.468150302
103	0.4678743866
104	0.4675579606
105	0.4672647123
106	0.4669716414
107	0.4666275347
108	0.4663573314
109	0.4661140695
110	0.4658137749
111	0.465364229
112	0.465011995
113	0.4647305929
114	0.4643993455
115	0.4641284194
116	0.4638205721
117	0.4635329639
118	0.4632643506
119	0.4628800443
120	0.4625482867
121	0.4621873139
122	0.4618960507
123	0.4616002611
124	0.4612921602
125	0.4610038734
126	0.4607058554
127	0.4604579568
128	0.4601488089
129	0.4599138947
130	0.4596102526
131	0.4591597202
132	0.4588327799
133	0.4585388483
134	0.4582553424
135	0.4579717534
136	0.4577311586
137	0.4574608663
138	0.4571622711
139	0.4569320633
140	0.4566884057
141	0.4564211721
142	0.4561754544
143	0.4558808157
144	0.4556007187
145	0.4553590337
146	0.4551522452
147	0.4549353283
148	0.4547055373
149	0.4544237413
150	0.4542048006
151	0.4539443615
152	0.4537592526
153	0.453511869
154	0.4532452109
155	0.4529833525
156	0.4526746421
157	0.452427873
158	0.4521666628
159	0.4519628254
160	0.4517307975
161	0.4514762462
162	0.451225423
163	0.4510192942
164	0.4508115715
165	0.4505550032
166	0.4502898344
167	0.4500761733
168	0.4498244527
169	0.4495659707
170	0.4493883893
171	0.4491319562
172	0.4489301954
173	0.4487235511
174	0.4485012676
175	0.448257402
176	0.4480733637
177	0.4478535476
178	0.4476597424
179	0.4474303832
180	0.4472313993
181	0.4470337901
182	0.4468740324
183	0.4464764325
184	0.4462987908
185	0.4460763527
186	0.4458567767
187	0.4456497926
188	0.4454170271
189	0.4452608273
190	0.445057248
191	0.4448600769
192	0.4446171962
193	0.4444064472
194	0.4442116915
195	0.4440175605
196	0.4437784454
197	0.443538974
198	0.4433466633
199	0.4431576362
200	0.4429466782
201	0.4427526017
202	0.4425936006
203	0.4423792001
204	0.4422337089
205	0.4420467036
206	0.4418775131
207	0.4416749199
208	0.4414728077
209	0.441313477
210	0.4411096921
211	0.4409061036
212	0.4407272349
213	0.4405519474
214	0.4403930758
215	0.440219691
216	0.4400431509
217	0.4398591502
218	0.4396755084
219	0.4395035742
220	0.439374331
221	0.4392286004
222	0.4390924394
223	0.4389179797
224	0.4387155437
225	0.4385489388
226	0.4383610447
227	0.4382462106
228	0.4380684435
229	0.4379381964
230	0.4377762927
231	0.4375980747
232	0.4374377503
233	0.4372631986
234	0.4370984367
235	0.4369106192
236	0.4367147831
237	0.4365345763
238	0.4363756553
