iter	Passed	Remaining
0	122	122786
1	189	94550
2	265	88266
3	330	82329
4	396	78996
5	463	76778
6	526	74683
7	590	73260
8	662	72966
9	724	71757
10	787	70794
11	861	70918
12	933	70839
13	1001	70537
14	1067	70112
15	1129	69480
16	1201	69480
17	1268	69219
18	1337	69051
19	1402	68727
20	1470	68537
21	1543	68596
22	1606	68253
23	1669	67905
24	1731	67543
25	1797	67324
26	1864	67185
27	1927	66928
28	1999	66936
29	2068	66873
30	2132	66654
31	2211	66899
32	2293	67193
33	2361	67107
34	2431	67042
35	2499	66943
36	2567	66813
37	2633	66662
38	2698	66491
39	2766	66407
40	2825	66080
41	2887	65855
42	2951	65688
43	3009	65395
44	3075	65266
45	3135	65027
46	3210	65105
47	3276	64993
48	3343	64889
49	3400	64617
50	3464	64459
51	3525	64279
52	3588	64113
53	3654	64020
54	3720	63917
55	3799	64046
56	3858	63832
57	3918	63648
58	3984	63553
59	4047	63417
60	4118	63403
61	4197	63511
62	4262	63398
63	4328	63303
64	4388	63131
65	4452	63003
66	4513	62853
67	4575	62706
68	4639	62594
69	4706	62527
70	4773	62459
71	4840	62383
72	4905	62288
73	4973	62231
74	5037	62123
75	5104	62065
76	5177	62062
77	5236	61898
78	5305	61856
79	5367	61723
80	5432	61638
81	5507	61660
82	5585	61706
83	5680	61949
84	5750	61902
85	5843	62104
86	5925	62187
87	6007	62263
88	6074	62178
89	6145	62139
90	6211	62046
91	6275	61932
92	6335	61785
93	6402	61707
94	6469	61635
95	6529	61481
96	6590	61355
97	6657	61272
98	6729	61245
99	6811	61304
100	6895	61373
101	6969	61360
102	7055	61447
103	7143	61544
104	7215	61507
105	7280	61402
106	7359	61423
107	7434	61401
108	7498	61291
109	7571	61260
110	7650	61270
111	7723	61235
112	7786	61118
113	7849	61002
114	7925	60989
115	8005	61006
116	8075	60948
117	8151	60928
118	8220	60860
119	8284	60750
120	8372	60819
121	8452	60831
122	8512	60697
123	8579	60609
124	8642	60499
125	8713	60443
126	8788	60411
127	8870	60429
128	8951	60442
129	9010	60303
130	9084	60263
131	9154	60196
132	9217	60089
133	9283	59995
134	9350	59915
135	9441	59983
136	9521	59978
137	9584	59870
138	9644	59741
139	9707	59634
140	9763	59479
141	9822	59349
142	9889	59270
143	9949	59142
144	10027	59126
145	10111	59143
146	10181	59081
147	10248	58998
148	10306	58866
149	10372	58779
150	10428	58635
151	10496	58560
152	10570	58518
153	10642	58465
154	10714	58410
155	10795	58405
