SurveyNo,Surnoc,HissaNo
1,*,2
1,*,3
1,*,1
1,*,4
1,*,5
1,*,6
2,*,*
3,*,1
3,*,2
3,*,3
3,*,4
3,*,5
3,*,7
3,*,6
4,*,1
4,*,2
4,*,3
4,*,4
5,*,1
5,*,2
5,*,3
5,*,4
5,*,5
5,*,6
5,*,7
5,*,8
5,*,9
5,*,10
5,*,11
5,*,12
5,*,13
5,*,14
5,*,15
6,*,1
6,*,2
6,*,3
7,*,1
7,*,2
7,*,3
8,*,1
8,*,3
8,*,5
8,*,4
8,*,2
8,*,6
8,*,8
8,*,9
8,*,10
8,*,16
8,*,11
8,*,12
8,*,13
8,*,14
8,*,15
8,*,17
8,*,18
9,*,1
9,*,2
9,*,3
9,*,6
9,*,7
9,*,9
9,*,10
9,*,8
9,*,12
9,*,13
9,*,11
9,*,14
9,*,15
9,*,4
9,*,5
9,*,16
9,*,17
10,*,*
11,*,*
12,*,*
13,*,1
13,*,3
13,*,4
13,*,5
13,*,6
13,*,2
14,*,*
15,*,*
16,*,*
17,*,1
17,*,2
18,*,1
18,*,2
18,*,3
19,*,*
20,*,1
20,*,2
