SurveyNo,Surnoc,HissaNo
1,*,1
1,*,2
1,*,3
2,*,*
3,*,1
3,*,2
3,*,3
3,*,4
3,*,5
4,*,*
5,*,*
6,*,1
6,*,2
6,*,3
7,*,1
7,*,2
7,*,3
7,*,4
7,*,5
8,*,1
8,*,2
9,*,*
10,*,*
11,*,*
12,*,*
13,*,1+2ಅ
13,*,1+2ಬ
13,*,1+2ಕ
13,*,1+2ಡ
13,*,3
13,*,4
14,*,*
15,*,1
15,*,2
15,*,3
15,*,4
15,*,5
16,*,ಬ
16,*,ಅ
16,*,ಕ
17,*,1
17,*,2
17,*,3
17,*,4
17,*,5
17,*,6
17,*,7
17,*,8
17,*,9
17,*,10
17,*,11
17,*,12
17,*,13
17,*,14
17,*,15
17,*,16
17,*,17
17,*,18
17,*,19
18,*,1
18,*,2
18,*,3
18,*,4
18,*,5
19,*,ಅ
19,*,ಬ
20,*,*
21,*,*
22,*,ಅ
22,*,ಬ
23,*,1
23,*,2
24,*,*
25,*,*
26,*,1
26,*,2
26,*,3
26,*,4
26,*,5
26,*,6
27,*,1
27,*,2
27,*,3
27,*,4
28,*,*
29,*,*
30,*,*
31,*,*
32,*,1
32,*,2
32,*,3
33,*,*
34,*,1
34,*,2
34,*,3
35,*,1
35,*,2
35,*,3
35,*,4
35,*,5
35,*,6
36,*,1
36,*,2
