SurveyNo,Surnoc,HissaNo
1,*,1
2,*,3
2,*,4
2,*,2
2,*,5
2,*,6
2,*,1
3,*,15
3,*,*
4,*,*
5,*,1B
5,*,4
5,*,1A1
5,*,1A2
5,*,1A3
5,*,1A4
5,*,2
5,*,1A5
5,*,3
5,*,5
5,*,6
6,*,1
6,*,2
6,*,3
7,*,3
7,*,4
7,*,5
7,*,6
7,*,7
7,*,2
7,*,8
7,*,1
7,*,9
7,*,10
7,*,11
7,*,12
8,*,1
8,*,2
8,*,3
8,*,4
8,*,5
8,*,6
8,*,7
8,*,8
8,*,9
8,*,10
9,*,1
9,*,4
9,*,2
9,*,3
10,*,*
11,*,*
12,*,1
13,*,*
14,*,3
14,*,4
14,*,2
14,*,6
14,*,7
14,*,8
14,*,9
14,*,10
14,*,5
14,*,11
14,*,12
14,*,13
14,*,14
14,*,15
14,*,16
14,*,1
14,*,17
14,*,18
14,*,19
14,*,20
14,*,21
15,*,*
16,*,1
16,*,3
16,*,2
16,*,4
17,*,2
17,*,1
17,*,3
17,*,4
17,*,5
17,*,6
17,*,7
17,*,8
17,*,9
17,*,12
17,*,11
17,*,13
17,*,14
17,*,15
17,*,16
17,*,17
18,*,1
18,*,2
19,*,1
19,*,2
19,*,3
19,*,4
19,*,5
19,*,6
19,*,7
19,*,8
19,*,9
19,*,10
19,*,11
19,*,12
