YEAR,SEASONCODE,SEASONNAME,HSEASONNAME,SAMPLE,SAMPLENAME,HSAMPLENAME,STATE,STATENAME,SHORTSTATE,HSTATENAME,ROCODE,RONAME,HRONAME,SROCODE,SRONAME,HSRONAME,DISTRICT,DISTRICTNAME,HDISTRICTNAME,SELORDER,EXPT,CROPCODE,CROPNAME,HCROPNAME
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,28,MC BHARATPUR,म.चि.भरतपुर ,1,1,600,MAIZE,मक्का
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,28,MC BHARATPUR,म.चि.भरतपुर ,1,2,600,MAIZE,मक्का
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,28,MC BHARATPUR,म.चि.भरतपुर ,1,1,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,28,MC BHARATPUR,म.चि.भरतपुर ,1,2,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,28,MC BHARATPUR,म.चि.भरतपुर ,1,1,2800,KODOKUTKI,कोदो कुटकी
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,28,MC BHARATPUR,म.चि.भरतपुर ,1,2,2800,KODOKUTKI,कोदो कुटकी
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,28,MC BHARATPUR,म.चि.भरतपुर ,2,1,600,MAIZE,मक्का
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,28,MC BHARATPUR,म.चि.भरतपुर ,2,2,600,MAIZE,मक्का
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,28,MC BHARATPUR,म.चि.भरतपुर ,2,1,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,28,MC BHARATPUR,म.चि.भरतपुर ,2,2,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,28,MC BHARATPUR,म.चि.भरतपुर ,2,1,2800,KODOKUTKI,कोदो कुटकी
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,28,MC BHARATPUR,म.चि.भरतपुर ,2,2,2800,KODOKUTKI,कोदो कुटकी
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,2,SARGUJA,सरगुजा,1,1,600,MAIZE,मक्का
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,2,SARGUJA,सरगुजा,1,2,600,MAIZE,मक्का
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,2,SARGUJA,सरगुजा,1,1,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,2,SARGUJA,सरगुजा,1,2,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,2,SARGUJA,सरगुजा,2,1,600,MAIZE,मक्का
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,2,SARGUJA,सरगुजा,2,2,600,MAIZE,मक्का
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,2,SARGUJA,सरगुजा,2,1,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,2,SARGUJA,सरगुजा,2,2,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,3,JASHPUR,जशपुर,1,1,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,3,JASHPUR,जशपुर,1,2,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,3,JASHPUR,जशपुर,2,1,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,3,JASHPUR,जशपुर,2,2,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,3,JASHPUR,जशपुर,3,1,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,3,JASHPUR,जशपुर,3,2,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,4,RAIGARH,रायगढ,1,1,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,4,RAIGARH,रायगढ,1,2,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,29,S BILAIGARH,सा. भिलाईगढ़,1,1,135,PADDY_ HY_IR,धान-उ.ऊ./सिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,29,S BILAIGARH,सा. भिलाईगढ़,1,2,135,PADDY_ HY_IR,धान-उ.ऊ./सिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,4,RAIGARH,रायगढ,2,1,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,4,RAIGARH,रायगढ,2,2,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,29,S BILAIGARH,सा. भिलाईगढ़,2,1,135,PADDY_ HY_IR,धान-उ.ऊ./सिंचित
