STATE,DISTRICT,DISTRICTNAME
1,1,Kupwara
1,2,Baramula
1,4,Badgam
1,5,Pulwama
1,6,Anantnag
1,9,Doda
1,10,Udhampur
1,11,Poonch
1,12,Rajouri
1,13,Jammu
1,14,Kathua
1,15,Samba
1,16,Kishtwar
1,17,Reasi
1,18,Ramban
1,19,Ganderbal
1,20,Kulgam
1,22,Bandipora
2,1,Chamba
2,2,Kangra
2,4,Kullu
2,5,Mandi
2,6,Hamirpur
2,7,Una
2,8,Bilaspur
2,9,Solan
2,10,Sirmaur
2,11,Shimla
2,12,Kinnour
3,1,Gurdaspur
3,2,Amritsar
3,3,Kapurthala
3,4,Jalandhar
3,5,Hoshiarpur
3,6,Sbs Nagar
3,7,Ropar
3,8,Fatehgarh Sahib
3,9,Ludhiana
3,10,Moga
3,11,Ferozpur
3,12,Mukatsar
3,13,Faridkot
3,14,Bhatinda
3,15,Mansa
3,16,Sangrur
3,17,Patiala
3,18,Mohali
3,19,Barnala
3,20,Tarn Taran
3,21,Pathankot
3,22,Fazilka
3,23,Malerkotla
5,1,Uttarkashi
5,2,Chamoli
5,3,Rudraprayag
5,4,Tehrigarhwal
5,5,Dehradun(Plains)
5,6,Pourigarhwal
5,7,Pithoragarh
5,8,Champawat
5,9,Almora
5,10,Bageshwar
5,11,Nainital(Plains)
5,12,Udhamsinghnagar
5,13,Haridwar
5,14,Nainital(Hills)
5,15,Dehradun(Hills)
6,1,Panchkula
6,2,Ambala
6,3,Yamunanagar
6,4,Kurukshetra
6,5,Kaithal
6,6,Karnal
6,7,Panipat
6,8,Sonepat
6,9,Jind
6,10,Fatehabad
6,11,Sirsa
6,12,Hisar
6,13,Bhiwani
6,14,Rohtak
6,14,Rohtak 
6,15,Jhajjar
6,16,Mahendergarh
6,17,Rewari
6,18,Gurugram
6,19,Faridabad
6,20,Mewat
6,21,Palwal
6,22,Charki Dadri
8,1,Sri Ganganagar
8,2,Hanumangarh
8,3,Bikaner
8,4,Churu
8,5,Jhunjhunu
8,6,Alwar
8,7,Bharatpur
8,8,Dholpur
8,9,Karauli
8,10,Sawai Madhopur
8,11,Dausa
8,12,Jaipur 
8,13,Sikar
8,14,Nagaur
8,15,Jodhpur
8,16,Jaisalmer
8,17,Barmer
8,18,Jalore
8,19,Sirohi
8,20,Pali
8,21,Ajmer
8,22,Tonk
8,23,Bundi
8,24,Bhilwara
8,25,Rajsamand
8,26,Udaipur
8,27,Dungarpur
8,28,Banswara
8,29,Chittorgarh
8,30,Kota
8,31,Baran
8,32,Jhalawar
8,33,Pratapgarh
8,34,Balotra
8,35,Beawar
8,36,Deedvana And Kuchamn
8,37,Deeg
8,38,Phalodi
8,39,Khairthal-Tizara
8,40,Kotputli-Behror
8,41,Salumbar
9,1,Saharanpur
9,2,Muzaffarnagar
9,3,Bijnor
9,4,Moradabad
9,5,Rampur
9,6,J. P. Nagar
9,7,Meerut
9,8,Bagpat
9,9,Ghaziabad
9,10,G.B. Nagar 
9,11,Bulandsehar
9,12,Aligarh
9,13,Mahamaya Nagar
9,14,Mathura
9,15,Agra
9,16,Firozabad
9,17,Etah
9,18,Mainpuri
9,19,Badaun
9,20,Bareilly
9,21,Pilibhit
9,22,Shahjahanpur
9,23,Khiri
9,24,Sitapur
9,25,Hardoi
9,26,Unnao
9,27,Lucknow
9,28,Raibareilly
9,29,Farrukhabad
9,30,Kannauj
9,31,Etawah
9,32,Auraiya
9,33,Kanpur Dehat
9,34,Kanpur Nagar
9,35,Jalaun
9,36,Jhansi
9,37,Lalitpur
9,38,Hamirpur
9,39,Mahoba
9,40,Banda
9,41,Chitrakoot
9,42,Fatehpur
9,43,Pratapgarh
9,44,Kaushambi
9,45,Prayagraj
9,46,Barabanki
9,47,Faizabad
9,47,Ayodhya
9,48,Ambedkar Nagar
9,49,Sultanpur
9,50,Bahraich
9,51,Shrawasti
9,52,Balrampur
9,53,Gonda
9,54,Siddarthnagar
9,55,Basti
9,56,Sant Kabir Nagar
9,57,Maharajganj
9,58,Gorakhpur
9,59,Kushinagar
9,60,Deoria
9,61,Azamgarh
9,62,Mau
9,63,Baliya
9,64,Jaunpur
9,65,Ghazipur
9,66,Chandauli
9,67,Varanasi
9,68,Sant Ravidas Nagar
