SEASONCODE,SEASONNAME,STATE,STATENAME,ROCODE,RONAME,DISTRICT,DISTRICTNAME
1,Kharif,1,Jammu & Kashmir,11,Jammu,9,Doda
1,Kharif,1,Jammu & Kashmir,11,Jammu,10,Udhampur
1,Kharif,1,Jammu & Kashmir,11,Jammu,11,Poonch
1,Kharif,1,Jammu & Kashmir,11,Jammu,12,Rajouri
1,Kharif,1,Jammu & Kashmir,11,Jammu,13,Jammu
1,Kharif,1,Jammu & Kashmir,11,Jammu,14,Kathua
1,Kharif,1,Jammu & Kashmir,11,Jammu,15,Samba
1,Kharif,1,Jammu & Kashmir,11,Jammu,16,Kishtwar
1,Kharif,1,Jammu & Kashmir,11,Jammu,17,Reasi
1,Kharif,1,Jammu & Kashmir,11,Jammu,18,Ramban
1,Kharif,1,Jammu & Kashmir,12,Srinagar,1,Kupwara
1,Kharif,1,Jammu & Kashmir,12,Srinagar,2,Baramula
1,Kharif,1,Jammu & Kashmir,12,Srinagar,4,Badgam
1,Kharif,1,Jammu & Kashmir,12,Srinagar,5,Pulwama
1,Kharif,1,Jammu & Kashmir,12,Srinagar,6,Anantnag
1,Kharif,1,Jammu & Kashmir,12,Srinagar,19,Ganderbal
1,Kharif,1,Jammu & Kashmir,12,Srinagar,20,Kulgam
1,Kharif,1,Jammu & Kashmir,12,Srinagar,22,Bandipora
1,Kharif,2,Himachal Pradesh,21,Shimla,1,Chamba
4,Rabi,2,Himachal Pradesh,21,Shimla,1,Chamba
1,Kharif,2,Himachal Pradesh,21,Shimla,2,Kangra
4,Rabi,2,Himachal Pradesh,21,Shimla,2,Kangra
1,Kharif,2,Himachal Pradesh,21,Shimla,4,Kullu
4,Rabi,2,Himachal Pradesh,21,Shimla,4,Kullu
1,Kharif,2,Himachal Pradesh,21,Shimla,5,Mandi
4,Rabi,2,Himachal Pradesh,21,Shimla,5,Mandi
1,Kharif,2,Himachal Pradesh,21,Shimla,6,Hamirpur
4,Rabi,2,Himachal Pradesh,21,Shimla,6,Hamirpur
1,Kharif,2,Himachal Pradesh,21,Shimla,7,Una
4,Rabi,2,Himachal Pradesh,21,Shimla,7,Una
1,Kharif,2,Himachal Pradesh,21,Shimla,8,Bilaspur
4,Rabi,2,Himachal Pradesh,21,Shimla,8,Bilaspur
1,Kharif,2,Himachal Pradesh,21,Shimla,9,Solan
4,Rabi,2,Himachal Pradesh,21,Shimla,9,Solan
1,Kharif,2,Himachal Pradesh,21,Shimla,10,Sirmaur
4,Rabi,2,Himachal Pradesh,21,Shimla,10,Sirmaur
1,Kharif,2,Himachal Pradesh,21,Shimla,11,Shimla
4,Rabi,2,Himachal Pradesh,21,Shimla,11,Shimla
4,Rabi,2,Himachal Pradesh,21,Shimla,12,Kinnour
1,Kharif,3,Punjab,31,Jalandhar,1,Gurdaspur
1,Kharif,3,Punjab,31,Jalandhar,2,Amritsar
1,Kharif,3,Punjab,31,Jalandhar,3,Kapurthala
1,Kharif,3,Punjab,31,Jalandhar,4,Jalandhar
1,Kharif,3,Punjab,31,Jalandhar,5,Hoshiarpur
1,Kharif,3,Punjab,31,Jalandhar,6,Sbs Nagar
1,Kharif,3,Punjab,31,Jalandhar,20,Tarn Taran
1,Kharif,3,Punjab,31,Jalandhar,21,Pathankot
1,Kharif,3,Punjab,32,Mohali,7,Ropar
1,Kharif,3,Punjab,32,Mohali,8,Fatehgarh Sahib
1,Kharif,3,Punjab,32,Mohali,9,Ludhiana
1,Kharif,3,Punjab,32,Mohali,10,Moga
1,Kharif,3,Punjab,32,Mohali,11,Ferozpur
1,Kharif,3,Punjab,32,Mohali,12,Mukatsar
1,Kharif,3,Punjab,32,Mohali,13,Faridkot
1,Kharif,3,Punjab,32,Mohali,14,Bhatinda
1,Kharif,3,Punjab,32,Mohali,15,Mansa
1,Kharif,3,Punjab,32,Mohali,16,Sangrur
1,Kharif,3,Punjab,32,Mohali,17,Patiala
1,Kharif,3,Punjab,32,Mohali,18,Mohali
1,Kharif,3,Punjab,32,Mohali,19,Barnala
1,Kharif,3,Punjab,32,Mohali,22,Fazilka
1,Kharif,3,Punjab,32,Mohali,23,Malerkotla
1,Kharif,5,Uttarakhand,51,Dehradun,1,Uttarkashi
4,Rabi,5,Uttarakhand,51,Dehradun,1,Uttarkashi
1,Kharif,5,Uttarakhand,51,Dehradun,2,Chamoli
4,Rabi,5,Uttarakhand,51,Dehradun,2,Chamoli
1,Kharif,5,Uttarakhand,51,Dehradun,3,Rudraprayag
4,Rabi,5,Uttarakhand,51,Dehradun,3,Rudraprayag
1,Kharif,5,Uttarakhand,51,Dehradun,4,Tehrigarhwal
4,Rabi,5,Uttarakhand,51,Dehradun,4,Tehrigarhwal
1,Kharif,5,Uttarakhand,51,Dehradun,5,Dehradun(Plains)
4,Rabi,5,Uttarakhand,51,Dehradun,5,Dehradun(Plains)
